item,pc,npc,coord,categoria
Path of the Hunter,Coordinator Notify,Coordinator Notify,Gangrel,Non-Gangrel
Path of the Nomad,Coordinator Notify,Coordinator Notify,Gangrel,Non-Gangrel
Path of the Savage,Coordinator Notify,Coordinator Notify,Gangrel,Non-Gangrel
Brujah Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Brujah,Brujah Paths of Enlightenment
Brujah,Coordinator Notify,Coordinator Notify,Brujah,Brujah
Path of Entelechy,Coordinator Notify,Coordinator Notify,Brujah,Brujah
Path of the Scorched Heart,Coordinator Notify,Coordinator Notify,Brujah,Brujah
Non- Brujah,Coordinator Approval,Coordinator Approval,Brujah,Non- Brujah
Path of Entelechy,Coordinator Approval,Coordinator Approval,Brujah,Non- Brujah
Path of the Scorched Heart,Coordinator Approval,Coordinator Approval,Brujah,Non- Brujah
Follower of Set Paths of Enlightenment,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Typhon,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Sutekh,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Ecstasy,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Set's Vengeance,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Set's Honor,Coordinator Notify,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Follower of Set Paths of Enlightenment,Coordinator Approval,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Road of Set,Coordinator Approval,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Path of Apep,Coordinator Approval,Coordinator Notify,Setite,Follower of Set Paths of Enlightenment
Characters without in-clan Obtenebration on Path/Road of the Abyss or any variation thereof,Coordinator Approval,Coordinator Approval,Lasombra,Characters without in-clan Obtenebration on Path/Road of the Abyss or any variation thereof
Gargoyle Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Tremere,Gargoyle Paths of Enlightenment
Road of Service,Coordinator Approval,Coordinator Approval,Tremere,Gargoyle Paths of Enlightenment
Salubri Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Salubri,Salubri Paths of Enlightenment
The Code of Samiel (Path of Vindication),Coordinator Approval,Coordinator Approval,Salubri,Salubri Paths of Enlightenment
Assamite,Coordinator Approval,Coordinator Approval,Assamite,Assamite
Giovanni,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni
Nosferatu,Coordinator Approval,Coordinator Approval,Nosferatu,Nosferatu
Tremere,Coordinator Approval,Coordinator Approval,Tremere,Tremere
Ventrue (not to include Antitribu),Coordinator Approval,Coordinator Approval,Ventrue,Ventrue (not to include Antitribu)
Non-Anarchs with Anarch Combination Disciplines,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Aspect of the Beast,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Badger's Hide,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Call Upon the Blood,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Chaos Fold,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Give 'em Hell,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Guardian Vigil,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
"Humberside Panic, The",Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Internet Famous,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
King of the Hill,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Memory Rift,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Quickshift,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Remote Access Buffer,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Retain the Quick Blood (V20 Anarchs Unbound Version),Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Sensory Overload,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Seventh Chinese Brother,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Slenderman,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Smiling Jack's Trick,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Stonesight,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Suck It Up,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Anarch Combination Disciplines
Discipline: Anarch Sorcery Combination Disciplines,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Breach the Veils,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Channeled Fate,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Cleanse the Blight,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Harshing the Vibe,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Purity of Body and Mind,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Self-Actualization,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Unbiased Focus,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Turn the Other Cheek,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Weirded Wood,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Decay the Adversary's Boon,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Decay the Fates,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Digital Access,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Digital Disruption,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Techno-Vision,Coordinator Approval,Coordinator Approval,Anarch,Discipline: Anarch Sorcery Combination Disciplines
Deimos: The Path of the Four Humors,Coordinator Approval,Coordinator Approval,Sabbat,Deimos: The Path of the Four Humors
Kineticism,Coordinator Approval,Coordinator Approval,Sabbat,Kineticism
Non-Black Hand with Black Hand Combination Disciplines,Disallowed,Disallowed,Sabbat,Non-Black Hand with Black Hand Combination Disciplines
Circumspect Revelation,Disallowed,Disallowed,Sabbat,Non-Black Hand with Black Hand Combination Disciplines
Lessons in the Steel,Disallowed,Disallowed,Sabbat,Non-Black Hand with Black Hand Combination Disciplines
Masque of Judas,Disallowed,Disallowed,Sabbat,Non-Black Hand with Black Hand Combination Disciplines
Sympathetic Encryptor,Disallowed,Disallowed,Sabbat,Non-Black Hand with Black Hand Combination Disciplines
Sabbat Combination Disciplines,Coordinator Approval,Coordinator Approval,Sabbat,Sabbat Combination Disciplines
Non-Faction members with Sabbat Faction Ritae,Coordinator Approval,Coordinator Approval,Sabbat,Non-Faction members with Sabbat Faction Ritae
Non-Brujah with Brujah Combination Disciplines,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Burning Wrath,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Command the Wary Beast / Command the Wary Steed,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Esprit de Corps,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Hindsight,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Iron Heart Gargoyles with Iron Heart - PC: Disallowed - NPC: Disallowed - Coordinator: Brujah,Coordinator Approval,Coordinator Approval,Brujah,Non-Brujah with Brujah Combination Disciplines
Gargoyles with Iron Heart,Disallowed,Disallowed,Brujah,Gargoyles with Iron Heart
Brujah Combination Disciplines requiring approval,Coordinator Approval,Coordinator Approval,Brujah,Brujah Combination Disciplines requiring approval
Jackhammer Punch,Coordinator Approval,Coordinator Approval,Brujah,Brujah Combination Disciplines requiring approval
Non-Brujah with Brujah Combination Disciplines,Coordinator Notify,Coordinator Notify,Brujah,Non-Brujah with Brujah Combination Disciplines
Aura of Accursed Rage,Coordinator Notify,Coordinatory Notify,Brujah & Gangrel,Aura of Accursed Rage
Gangrel Combination Disciplines,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Bear Skin,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Ennoia's Mastery,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Fenris Talons also printed as Fenrir's Talons,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Loki's Gift,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Itugen's Embrace,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Combination Disciplines
Combination Discipline Wild Heart,Disallowed,Disallowed,Gangrel,Combination Discipline Wild Heart
Combination Disciplines requiring Mortis,Coordinator Approval,Coordinator Approval,Giovanni,Combination Disciplines requiring Mortis
Non-Malkavians with Malkavian Combination Disciplines,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Catch a Whiff of Madness,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Creepy Clown Coat,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Days of Passions Past,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
"Do As I Say, Not As I Say",Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Ignore Me,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Maddening Halo,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Madman's Quill,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Malkav's Pavlovian Response,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Phobic Affliction,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Prophecy,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Rando,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Respite of Lucidity,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Screams Made Real,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Vanishing,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Whispers of Loathing,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Ze Monkey's Paw,Coordinator Approval,Coordinator Approval,Malkavian,Non-Malkavians with Malkavian Combination Disciplines
Non-Nosferatu with Nosferatu Combination Disciplines,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Animal Magnetism,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Blood Apocrypha,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Feral Imbuing,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Bestial Presence,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Cloak the Beast,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Forbidden Zone,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
I Know,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Power Animal,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Wolf in Sheep's Clothing,Coordinator Approval,Coordinator Approval,Nosferatu,Non-Nosferatu with Nosferatu Combination Disciplines
Nosferatu Combination Disciplines,Coordinator Approval,Coordinator Approval,Nosferatu,Nosferatu Combination Disciplines
Haunted Place,Coordinator Approval,Coordinator Approval,Nosferatu,Nosferatu Combination Disciplines
Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Scourge of the Thrall,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Nightmare Curse,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Craft Ephemera,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Mask of Cathay,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Mediumship,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Blood Scent,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Reading the Fates,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Modern Illusions,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Resist the Old Ways,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Weapons of the Oppressed,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Ravnos Don't Lie,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Ravnos Combination Disciplines
Non-Toreador with Toreador Combination Disciplines,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Soul Painting,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Focused Reflexes,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Bliss,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Diplomat's Boon,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Artist's Intent,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Hand of the Master Artisan,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Scalpel Tongue,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
Under the Skin,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with Toreador Combination Disciplines
V20 Edition Soul Decoration Combination Discipline,Disallowed,Disallowed,Tzimisce,V20 Edition Soul Decoration Combination Discipline
Non - Tzimisce with the Combination Discipline Soul Decoration,Coordinator Notify,Coordinator Notify,Tzimisce,Non - Tzimisce with the Combination Discipline Soul Decoration
Tzimisce Clan Combination Disciplines,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Birth the Vozhd,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Unchain the Wrathful Beast,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Sculpt the Flowing Wound,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Jaws of the Dragon,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Becoming Kupala,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Flaying Touch,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Shape of All Beasts,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Conquering Blood,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Clan Combination Disciplines
Non-Ventrue with Ventrue Combination Disciplines,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Approximation of Loyalty Absolute,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Aura of Inescapable Truth,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Denial of Aphrodite's Favor,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
True Tongue,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Distant Friend,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Lifesong,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Lucinde's Revenge,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Command from Afar,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Divine Aura,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Impeccable Manners,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Rescue Beacon,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Retaliatory Terror,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Telepathic Command,Coordinator Approval,Coordinator Approval,Ventrue,Non-Ventrue with Ventrue Combination Disciplines
Salubri Blooding Rituals,Coordinator Approval,Coordinator Approval,Salubri,Salubri Blooding Rituals
Pre-Existing,Coordinator Approval,Coordinator Approval,Salubri,Salubri Blooding Rituals
Creating New Rituals,Coordinator Approval,Coordinator Approval,Salubri,Salubri Blooding Rituals
Watcher Valeren,Coodinator Approval,Notify,Salubri,Watcher Valeren
Healer Path Valeren,Disallowed,Disallowed,Salubri,Healer Path Valeren
Out of Clan Advanced (or higher) Temporis,Coordinator Approval,Coordinator Approval,Brujah,Out of Clan Advanced (or higher) Temporis
Non-Lhiannan learning Ogham,Coordinator Approval,Coordinator Approval,Gangrel,Non-Lhiannan learning Ogham
V20 Ogham Koldunic Sorcery Paradigm,Disallowed,Coordinator Approval,Gangrel and Tzimisce,V20 Ogham Koldunic Sorcery Paradigm
Non-Ahrimane with Spiritus,Coordinator Approval,Coordinator Approval,Gangrel,Non-Ahrimane with Spiritus
Out-of-Clan Advanced Thanatosis (or higher),Coordinator Approval,Coordinator Approval,Giovanni,Out-of-Clan Advanced Thanatosis (or higher)
Characters/Non-NPCs Teaching Advanced Thanatosis,Disallowed,Coordinator Approval,Giovanni,Characters/Non-NPCs Teaching Advanced Thanatosis
Out of Clan Mytherceria,Coordinator Approval,Coordinator Approval,Lasombra,Out of Clan Mytherceria
Out of Clan Obtenebration for Non-Sabbat Members,Coordinator Approval,Coordinator Approval,Lasombra,Out of Clan Obtenebration for Non-Sabbat Members
Aizina counts as Obtenebration,Coordinator Approval,Coordinator Approval,Lasombra,Out of Clan Obtenebration for Non-Sabbat Members
Non-Sabbat with Out-of-Clan Valeren,Coordinator Approval,Coordinator Notify,Salubri,Non-Sabbat with Out-of-Clan Valeren
Characters with Dementation without a Derangement,Disallowed,Disallowed,Malkavian,Characters with Dementation without a Derangement
Also applies to Combination Discipline with Dementation as requirement,Disallowed,Disallowed,Malkavian,Characters with Dementation without a Derangement
Out of Clan Advaned Chimerstry (or higher),Coordinator Approval,Unregulated,Ravnos,Out of Clan Advaned Chimerstry (or higher)
Characters/Non-NPCs Teaching Advanced Chimerstry,Disallowed,Unregulated,iantor Ravnos,Characters/Non-NPCs Teaching Advanced Chimerstry
Obeah,Coordinator Approval,Coordinator Notify,Salubri,Obeah
"Excludes Nkulu Zao, Scholar Caste Wu Zao and Healer Caste Salubri",Coordinator Approval,Coordinator Notify,Salubri,Obeah
Non-Salubri Teaching Obeah based Combination Disciplines,Coordinator Approval,Coordinator Approval,Salubri,Non-Salubri Teaching Obeah based Combination Disciplines
Non Daughters of Cacophony with Melpominee,Coordinator Approval,Coordinator Approval,Toreador,Non Daughters of Cacophony with Melpominee
Non-Gargoyles with the Discipline: Flight,Coordinator Approval,Coordinator Approval,Tremere,Non-Gargoyles with the Discipline: Flight
Also applies to Combination Disciplines with Flight as a prerequisite,Coordinator Approval,Coordinator Approval,Tremere,Non-Gargoyles with the Discipline: Flight
Non-Gargoyle NPCs with Combination Disciplines with Flight as a prerequisite are disallowed,Coordinator Approval,Coordinator Approval,Tremere,Non-Gargoyles with the Discipline: Flight
Non-Gargoyles with the Discipline: Visceratika Levels 1-3,Coordinator Notify,Coordinator Approval,Tremere,Non-Gargoyles with the Discipline: Visceratika Levels 1-3
Non-Gargoyles with level 4-5 Visceratika,Coordinator Approval,Coordinator Approval,Tremere,Non-Gargoyles with level 4-5 Visceratika
Non-Gargoyles with a Combination Disciplines with Visceratika as a prerequisite,Coordinator Approval,Disallowed,Tremere,Non-Gargoyles with a Combination Disciplines with Visceratika as a prerequisite
Non-Assamite Antitribu with the following combination disciplines,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Draught of the Soul/Drink the Mind (Assamite Version),Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Breath of the Sandstorm,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Blood of Essence,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Trap of Vitae,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Running with Shadows,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Non-Assamite Antitribu with the following combination disciplines
Non-Assamite Antitribu Warriors with the following Combination Disciplines,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu Warriors with the following Combination Disciplines
Tattoo of the Unconquered Blood,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu Warriors with the following Combination Disciplines
Tattoo of the Stolen Life,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu Warriors with the following Combination Disciplines
Non-Assamite Antitribu with the following Ritae,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
Tatarich mee-nel Haabar (The Way of Khabar),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
Les Sem-Maana el Al Faa (Venom of the Snake),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
El Raver mel al Hashishe (Taking of the Hashish),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
The Mark of Khayyin,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
Kali-Ma,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
Ealamat Alkayin,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Antitribu with the following Ritae
Tal'Mahe'Ra Combination Discipline and Spells,Disallowed,Disallowed,Sabbat,Tal'Mahe'Ra Combination Discipline and Spells
Offering the Awakened Soul,Disallowed,Disallowed,Sabbat,Tal'Mahe'Ra Combination Discipline and Spells
Chain the Enlightened,Disallowed,Disallowed,Sabbat,Tal'Mahe'Ra Combination Discipline and Spells
Camarilla Regulated Combination Disciplines,Coordinator Approval,Coordinator Approval,Camarilla,Camarilla Regulated Combination Disciplines
Non-Camarilla,Coordinator Disallowed,Coordinator Disallowed,Camarilla,Non-Camarilla
Characters who are not members of the Mnemosyne Cult possessing the Meminisse Discipline,Disallowed,Disallowed,,Characters who are not members of the Mnemosyne Cult possessing the Meminisse Discipline
Thaumaturgical Countermagic,Coordinator Approval,Coordinator Approval,Tremere,Thaumaturgical Countermagic
Anarch Hactivist with Thaumaturgical Countermagic,Coordinator Approval,Coordinator Approval,Anarch and Tremere,Anarch Hactivist with Thaumaturgical Countermagic
Ophanim with Countermagic,Coordinator Approval,Coordinator Approval,Salubri and Tremere,Ophanim with Countermagic
Perdo Magica,Coordinator Approval,Coordinator Approval,Tremere,Perdo Magica
Non Ravnos with the following combination disciplines,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Sympathetic Agony,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Eventide Strength,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Waking Dream,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Mind of the Wilds,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Heart's Desire,Coordinator Approval,Coordinator Approval,,Non Ravnos with the following combination disciplines
Non-Assamites with Assamite Combination Disciplines,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Baal's Sight,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Draught of the Soul/Drink the Mind (Assamite Version),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Eyes of Alamut,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Eyes of Blades,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Forced March/Long March,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Honeyed Words,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Retain the Quick Blood (Assamite Version),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Scent of Caine (Assamite Version),Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Shadow Feint,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Truth of Blood,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite Combination Disciplines
Caste Specific Quietus Powers for Non-Assamites and Characters Outside the Caste,Coordinator Approval,Coordinator Approval,Assamite,Caste Specific Quietus Powers for Non-Assamites and Characters Outside the Caste
Caste Specific Quietus Powers without the requisite Merit from the OWBN Assamite Packet,Coordinator Approval,Coordinator Approval,Assamite,Caste Specific Quietus Powers without the requisite Merit from the OWBN Assamite Packet
Having multiple Caste Specific Quietus powers,Coordinator Approval,Coordinator Approval,Assamite,Having multiple Caste Specific Quietus powers
Assamite Sorcerer Inclan Disciplines from Dark Ages V20,Coordinator Approval,Coordinator Approval,Assamite,Assamite Sorcerer Inclan Disciplines from Dark Ages V20
Auspex instead of Obfuscate,Coordinator Approval,Coordinator Approval,Assamite,Assamite Sorcerer Inclan Disciplines from Dark Ages V20
Assamite Combination Discipline for anyone,Coordinator Approval,Coordinator Approval,Assamite,Assamite Combination Discipline for anyone
